content_id,client_id,cluster,silhouette_val,is_holdout_client,position_tier,avg_position,impressions_90d,engagement_rate,content_age_days,ctr,ctr_gap,baseline_action_score,trend_direction,is_declining_label,action,reason_code,priority,justification,roi_score,requires_human_signoff
content_c8e9d6ab9013,client_19581e27de,1.0,0.43675218635693036,False,page_1,9.7,208678,0.0,362,0.0,0.24,0.9909,down,1,REFRESH,DECAY_HIGH_VALUE,1,"Top-10 ranking page, marked as declining, with CTR well below what this position tier normally gets.",12.137,True
content_5fe46e04994d,client_4e07408562,1.0,0.20371724504562963,False,page_1,4.2,517715,4.23,537,0.14,0.09999999999999998,0.8888,down,1,REFRESH,DECAY_HIGH_VALUE,1,"Top-10 ranking page, marked as declining, with CTR well below what this position tier normally gets.",11.694,True
content_453722754fea,client_f369cb89fc,1.0,0.5096774311545313,False,page_1,7.6,140079,0.0,97,0.01,0.22999999999999998,0.9808,down,1,REFRESH,DECAY_HIGH_VALUE,1,"Top-10 ranking page, marked as declining, with CTR well below what this position tier normally gets.",11.622,True
content_c1fe78bc4e37,client_19581e27de,1.0,0.5295842471765038,False,page_1,7.5,134055,1.18,153,0.03,0.21,0.9777,down,1,REFRESH,DECAY_HIGH_VALUE,1,"Top-10 ranking page, marked as declining, with CTR well below what this position tier normally gets.",11.543,True
content_0919dd345d80,client_4e07408562,1.0,0.5279264067147512,False,page_1,7.0,119217,9.09,326,0.02,0.22,0.9786,down,1,REFRESH,DECAY_HIGH_VALUE,1,"Top-10 ranking page, marked as declining, with CTR well below what this position tier normally gets.",11.439,True
content_39881853ef0c,client_f369cb89fc,1.0,0.49511399601433254,False,page_1,7.2,112434,3.45,97,0.01,0.22999999999999998,0.9788,down,1,REFRESH,DECAY_HIGH_VALUE,1,"Top-10 ranking page, marked as declining, with CTR well below what this position tier normally gets.",11.384,True
content_63f88d16fdb8,client_19581e27de,1.0,0.45180289985768163,False,page_1,6.4,99013,6.72,419,0.03,0.21,0.9747,down,1,REFRESH,DECAY_HIGH_VALUE,1,"Top-10 ranking page, marked as declining, with CTR well below what this position tier normally gets.",11.212,True
content_97a86caf3a3d,client_19581e27de,1.0,0.5199907928884471,False,page_1,6.4,147670,4.2,153,0.07,0.16999999999999998,0.9402,down,1,REFRESH,DECAY_HIGH_VALUE,1,"Top-10 ranking page, marked as declining, with CTR well below what this position tier normally gets.",11.191,True
content_d0cc5baa4995,client_19581e27de,1.0,0.36641243775188187,False,page_1,6.6,83651,1.45,148,0.03,0.21,0.9728,down,1,REFRESH,DECAY_HIGH_VALUE,1,"Top-10 ranking page, marked as declining, with CTR well below what this position tier normally gets.",11.026,True
content_65114d89496d,client_19581e27de,1.0,0.14848779060546277,False,page_1,6.5,72631,0.0,482,0.02,0.22,0.9723,down,1,REFRESH,DECAY_HIGH_VALUE,1,"Top-10 ranking page, marked as declining, with CTR well below what this position tier normally gets.",10.883,True
